No,Kabupaten/Kota,JPM,JP,RRP,RRLS
119,Kaur,22.57,1225,1935.56,8.37
120,Seluma,36.23,1956,1819.05,7.99
121,Mukomuko,23.1,1981,2105.23,8.29
122,Lebong,13.97,1184,2081.59,7.99
123,Kepahiang,20.27,1382,1824.66,8.24
124,Bengkulu Tengah,10.79,1164,2034.1,7.47
125,Kota Bengkulu,69.12,3936,2510.98,11.79
126,Lampung Barat,38.12,302139,2070.91,8.06
127,Tanggamus,70.37,640275,1833.4,7.22
128,Lampung Selatan,143.33,1064301,1968.09,7.69
129,Lampung Timur,153.57,1110340,1845.47,7.6
130,Lampung Tengah,152.28,1460045,2099.04,7.58
131,Lampung Utara,119.35,633099,1720.97,8.21
132,Way Kanan,58.41,473575,2066.57,7.7
133,Tulangbawang,42.43,430021,1815.78,7.49
134,Pesawaran,66.04,477468,1872.68,7.7
135,Pringsewu,40.12,405466,1679.89,8.38
136,Mesuji,14.72,227518,2159.88,6.88
137,Tulang Bawang Barat,20.29,286162,1473.76,7.24
138,Pesisir Barat,22.24,162697,1998.04,8.01
139,Kota Bandar Lampung,93.74,1166066,2468.61,10.93
140,Kota Metro,14.31,168676,2359.07,10.96
141,Bangka,15.41,326265,3761.37,8.24
142,Belitung,12.07,182079,4145.77,8.46
143,Bangka Barat,5.83,204612,4131.6,7.22
144,Bangka Tengah,9.64,198946,4175.11,7.19
145,Bangka Selatan,7.49,198189,4217.29,6.67
146,Belitung Timur,8.56,127018,4806.77,8.22
147,Kota Pangkal Pinang,9.4,218569,4119.67,9.92
148,Karimun,15.99,253457,2605.51,8.17
149,Bintan,10.21,159518,3394.96,8.44
150,Natuna,3.47,81495,3406.34,8.73
151,Lingga,12.45,98633,3143.18,6.67
152,Kepulauan Anambas,2.8,47402,5101.57,7.17
153,Kota Batam,67.06,1196396,3115.06,11.14
154,Kota Tanjung Pinang,19.98,227663,3111.78,10.25
