No,Kabupaten/Kota,JPM,JP,RRP,RRLS
1,Simeulue,17.86,94876,1497.52,9.73
2,Aceh Singkil,24.33,130787,1993.21,8.69
3,Aceh Selatan,30.78,237376,1567.87,8.89
4,Aceh Tenggara,28.42,228308,1702.96,9.92
5,Aceh Timur,62.16,432849,1671.94,8.32
6,Aceh Tengah,31.5,222673,2602.24,9.87
7,Aceh Barat,38.46,202858,2011.67,9.87
8,Aceh Besar,58.18,414490,2165.83,10.35
9,Pidie,85.87,444505,1471.85,9.02
10,Bireuen,60.29,443874,1976.45,9.31
11,Aceh Utara,107.02,614640,1471.06,8.73
12,Aceh Barat Daya,24,155046,1595.37,8.68
13,Gayo Lues,18.09,103131,2572.1,8.41
14,Aceh Tamiang,38.25,301492,1660.55,9.04
15,Nagan Raya,29.63,173393,2754.59,8.95
16,Aceh Jaya,12.13,96028,2255.84,8.72
17,Bener Meriah,27.93,168690,2392.41,10.01
18,Pidie Jaya,30.41,162771,1877.9,9.53
19,Kota Banda Aceh,19.9,257635,3426.47,13.03
20,Kota Sabang,5.14,43208,3197.34,11.19
21,Kota Langsa,19.41,192630,2020.19,11.14
22,Kota Lhokseumawe,23.03,191396,1980.88,11.12
23,Kota Subulussalam,14.06,95199,1803.89,8.22
24,Nias,23.23,149249,1667.39,5.88
25,Mandailing Natal,40.98,484874,1265.51,8.76
26,Tapanuli Selatan,23.05,307312,1352.76,9.34
27,Tapanuli Tengah,47.07,374734,1147.58,8.86
28,Tapanuli Utara,27.47,318424,1448.88,10
29,Toba Samosir,16.48,212133,1839.69,10.58
30,Labuhan Batu,43.27,508024,1695.17,9.4
31,Asahan,64.49,787681,1651.49,8.82
32,Simalungun,72.47,1021615,1563.54,9.63
33,Dairi,22.53,315460,1435.84,9.72
34,Karo,35.93,414429,1654.18,10.02
35,Deli Serdang,85.28,1953986,2104.17,10.27
36,Langkat,100.45,1039926,1760.13,8.68
37,Nias Selatan,54.16,373674,1571.12,6.23
38,Humbang Hasundutan,17.33,202299,1378.82,10
39,Pakpak Bharat,4.52,54609,1618.31,9.39
40,Samosir,14.97,139337,1782.08,9.46
41,Serdang Bedagai,48.22,667998,1769.7,8.71
42,Batu Bara,49.39,416367,1434.5,8.26
43,Padang Lawas Utara,26.09,267275,1778.5,9.46
44,Padang Lawas,24.45,267275,1915.31,9.31
45,Labuhan Batu Selatan,29.38,320324,1752.55,8.92
46,Labuhan Batu Utara,33.91,390954,1637.42,8.64
47,Nias Utara,32.87,150780,1528.46,6.78
48,Nias Barat,20.42,91346,1433.01,6.97
49,Kota Sibolga,10.05,90366,1221.25,10.43
50,Kota Tanjung Balai,22.65,179748,1871.83,9.55
51,Kota Pematang Siantar,20.53,274056,2045.43,11.31
52,Kota Tebing Tinggi,16.34,177785,1779.96,10.65
53,Kota Medan,187.74,2494512,2560.15,11.5
54,Kota Binjai,14.61,300009,2147.11,11.18
55,Kota Padangsidimpuan,16.03,231062,1365.74,11.11
56,Kota Gunungsitoli,21.85,137583,1449.53,8.64
57,Kepulauan Mentawai,13.74,89401,2314.58,7.48
58,Pesisir Selatan,33.78,516518,1557.62,8.43
59,Solok,27.16,397829,2156.36,7.89
60,Sijunjung,15.07,240317,2254.23,8.3
61,Tanah Datar,14.91,376276,2199.1,8.9
62,Padang Pariaman,26.44,436129,1872.8,8.16
63,Agam,31.33,540905,2513.56,8.98
64,Lima Puluh Kota,26,388375,2402.69,8.08
65,Pasaman,19.94,307425,1659.06,8.11
66,Solok Selatan,11.81,188649,1978.1,8.41
67,Dharmasraya,15.08,234713,2269.09,8.56
68,Pasaman Barat,32.91,442479,1947.98,8.55
69,Kota Padang,42.37,919145,2903.72,11.6
70,Kota Solok,2.28,75850,2702.92,11.35
71,Kota Sawah Lunto,1.47,66413,2964.71,10.43
72,Kota Padang Panjang,2.89,57850,2620.84,11.92
73,Kota Bukittinggi,6.16,122311,2463.8,11.63
74,Kota Payakumbuh,8.08,143325,2413.65,10.82
75,Kota Pariaman,3.8,96719,1903.3,10.78
76,Kuantan Singingi,26.61,345850,2836.53,8.76
77,Indragiri Hulu,27.46,464076,2711.15,8.4
78,Indragiri Hilir,43.22,660747,3586.23,7.26
79,Pelalawan,47.84,410988,3223.67,8.72
80,Siak,25.71,477550,2935.76,9.87
81,Kampar,63.55,878210,2669.81,9.39
82,Rokan Hulu,73.81,582679,2258.22,8.55
83,Bengkalis,36.03,582973,3196.48,9.71
84,Rokan Hilir,49.59,658407,2163.42,8.28
85,Kepulauan Meranti,45.25,213532,2913.76,7.88
86,Kota Pekanbaru,35.96,1007540,3824.57,11.93
87,Kota Dumai,10,331832,3106.5,10.15
88,Kerinci,18.2,2539,2155.71,8.57
89,Merangin,34.14,3576,1771.41,7.91
90,Sarolangun,26.23,2981,2693.01,8.12
91,Batang Hari,26.24,3132,2897.63,8.21
92,Muaro Jambi,20.64,4128,3358.56,8.59
93,Tanjung Jabung Timur,23.42,2342,3825.37,7.19
94,Tanjung Jabung Barat,33.95,3245,3436.47,8.18
95,Tebo,22.81,3448,2784.57,7.7
96,Bungo,20.69,3733,2811.97,8.29
97,Kota Jambi,50.4,6196,4065.49,11.21
98,Kota Sungai Penuh,2.64,992,2105.54,10.34
99,Ogan Komering Ulu,44.2,375538,3499.11,8.73
100,Ogan Komering Ilir,113.79,776690,4454.1,7.07
101,Muara Enim,73.53,624019,4187.48,7.9
102,Lahat,65.39,441174,3483.88,8.53
103,Musi Rawas,55.8,402674,2787.37,7.55
104,Musi Banyuasin,102.24,633124,4113.51,7.65
105,Banyu Asin,88.55,852576,4713.46,7.45
106,Ogan Komering Ulu Selatan,39.61,426687,2357.95,7.86
107,Ogan Komering Ulu Timur,69.69,656857,2643.56,7.8
108,Ogan Ilir,54.55,422907,4002.61,7.91
109,Empat Lawang,31.06,357673,2678.68,7.65
110,Penukal Abab Lematang Ilir,23.14,200368,3307.06,7.06
111,Musi Rawas Utara,36.65,192369,3103,7.26
112,Kota Palembang,181.65,1707996,4751.82,10.91
113,Kota Prabumulih,22.12,199047,3931.91,10.2
114,Kota Pagar Alam,12.05,147071,3425.87,9.41
115,Kota Lubuklinggau,30.68,240238,3396.29,9.91
116,Bengkulu Selatan,31.83,17009,2871.19,9.39
117,Rejang Lebong,43.18,28128,3150.31,8.55
118,Bengkulu Utara,35.51,30283,3008.57,8.1
119,Kaur,22.57,12966,2259.2,8.39
120,Seluma,36.71,21376,3306.89,8.09
121,Mukomuko,21.81,19657,2378.73,8.31
122,Lebong,14.14,10725,2399.44,8.24
123,Kepahiang,20.73,154,2420.03,8.3
124,Bengkulu Tengah,11.33,11981,2391.79,7.49
125,Kota Bengkulu,59.43,38484,3917.2,11.82
126,Lampung Barat,36.2,303397,2465.17,8.2
127,Tanggamus,67.43,652898,2305.77,7.35
128,Lampung Selatan,136.21,1081115,2244.12,7.72
129,Lampung Timur,149.12,1127946,2378.77,8.04
130,Lampung Tengah,143.34,1500022,2883.33,7.64
131,Lampung Utara,114.67,635129,2795.62,8.35
132,Way Kanan,54.28,481036,2792.91,7.72
133,Tulangbawang,39.19,431208,2454.27,7.56
134,Pesawaran,63.17,487153,2148.29,7.77
135,Pringsewu,38.18,408415,2207.87,8.4
136,Mesuji,13.88,232685,2366.64,7.09
137,Tulang Bawang Barat,20.72,289620,1725.78,7.72
138,Pesisir Barat,21.85,164816,2007.1,8.53
139,Kota Bandar Lampung,90.51,1209937,3892.69,10.96
140,Kota Metro,13.68,171169,2826.61,10.98
141,Bangka,14.5,334344,3939.92,8.27
142,Belitung,12.34,186331,4710.35,8.74
143,Bangka Barat,5.3,209413,4888.66,7.46
144,Bangka Tengah,9.61,205510,4360.96,7.22
145,Bangka Selatan,6.81,202263,4728.76,6.89
146,Belitung Timur,8.47,130463,4987.6,8.67
147,Kota Pangkal Pinang,9.76,226297,5195.32,10.27
148,Karimun,16.44,26618,3154.38,8.48
149,Bintan,10.67,16578,4183.62,8.7
150,Natuna,4.32,8545,4386.87,8.96
151,Lingga,12.7,10285,4150.01,7.12
152,Kepulauan Anambas,3.29,5030,5878.42,7.38
153,Kota Batam,82.59,126941,4846.62,11.17
154,Kota Tanjung Pinang,21.67,23985,3873.54,10.49
