No,Kabupaten/Kota,JPM,JP,RRP,RRLS
80,Siak,25.77,466683,2497.76,9.86
81,Kampar,68.74,857752,2612.76,9.27
82,Rokan Hulu,74.73,570952,2207.71,8.54
83,Bengkalis,37.66,573504,2791.48,9.7
84,Rokan Hilir,51.97,646791,1880.55,8.26
85,Kepulauan Meranti,48.5,209460,3098.82,7.84
86,Kota Pekanbaru,32.73,994585,2923.42,11.92
87,Kota Dumai,10.57,323452,2998.12,10.14
88,Kerinci,18.45,2519,1939.64,8.56
89,Merangin,35.44,3557,1878.35,7.9
90,Sarolangun,27.06,2936,2374.2,8.04
91,Batang Hari,27.24,3067,2537.69,8.12
92,Muaro Jambi,20.49,4068,3131.42,8.58
93,Tanjung Jabung Timur,24.42,2318,3770,6.92
94,Tanjung Jabung Barat,36.1,3206,3173.1,8
95,Tebo,23.77,3409,2686.74,7.59
96,Bungo,23.64,3672,2596.19,8.28
97,Kota Jambi,54.23,6122,3717.68,11.2
98,Kota Sungai Penuh,3.03,978,1850.55,10.33
99,Ogan Komering Ulu,47.5,371106,3248.36,8.71
100,Ogan Komering Ilir,124.78,772742,5189.87,7.05
101,Muara Enim,80.4,617846,3812.04,7.8
102,Lahat,68.4,434939,2960.64,8.52
103,Musi Rawas,57.46,398732,2443.46,7.53
104,Musi Banyuasin,105.23,627070,4283.92,7.63
105,Banyu Asin,94.08,843871,4983.96,7.44
106,Ogan Komering Ulu Selatan,41.23,416616,2244.38,7.85
107,Ogan Komering Ulu Timur,72.89,653062,2933.91,7.56
108,Ogan Ilir,60.5,419401,4620.81,7.87
109,Empat Lawang,34.11,343839,2469.39,7.64
110,Penukal Abab Lematang Ilir,25.1,197290,3456.46,7.05
111,Musi Rawas Utara,39.5,190420,3172.22,7.09
112,Kota Palembang,194.12,1686073,4442.78,10.75
113,Kota Prabumulih,23.6,195748,3340.79,9.97
114,Kota Pagar Alam,13.27,145266,3242.51,9.4
115,Kota Lubuklinggau,31.61,236828,2958.44,9.9
116,Bengkulu Selatan,31.65,167989,2150.87,9.27
117,Rejang Lebong,43.3,278793,2787.38,8.33
118,Bengkulu Utara,35.55,299395,2818.82,8.09
119,Kaur,22.99,127953,2349.96,8.38
120,Seluma,37.05,210505,2274.64,8
121,Mukomuko,22.5,193196,2015.89,8.3
122,Lebong,13.97,106767,2064.2,8.18
123,Kepahiang,20.94,151640,2325.79,8.29
124,Bengkulu Tengah,11.12,118100,1897.03,7.48
125,Kota Bengkulu,66.94,378604,2579.27,11.8
126,Lampung Barat,39.36,302749,2682.28,8.07
127,Tanggamus,71.89,645807,2052.97,7.34
128,Lampung Selatan,145.85,1071727,2841.9,7.7
129,Lampung Timur,159.79,1118115,2239.02,7.77
130,Lampung Tengah,155.77,1477395,2231.81,7.59
131,Lampung Utara,121.91,634117,2397.1,8.34
132,Way Kanan,59.89,476871,2592.34,7.71
133,Tulangbawang,44.53,430630,2353.18,7.55
134,Pesawaran,68.31,481708,1745.31,7.71
135,Pringsewu,41.04,406823,2128.08,8.39
136,Mesuji,15.24,229772,2369.5,7.08
137,Tulang Bawang Barat,23.03,287707,1924.18,7.39
138,Pesisir Barat,23.23,163641,2428.94,8.19
139,Kota Bandar Lampung,98.76,1184949,3566.02,10.95
140,Kota Metro,15.32,169781,2943.92,10.97
141,Bangka,16.19,329911,4066.23,8.25
142,Belitung,13.53,184004,4577.28,8.47
143,Bangka Barat,5.85,206786,4898.87,7.44
144,Bangka Tengah,10.03,201861,4316.43,7.2
145,Bangka Selatan,7.72,200051,4465.2,6.71
146,Belitung Timur,9.29,128564,5492.18,8.47
147,Kota Pangkal Pinang,10.1,221988,4538.38,10.13
148,Karimun,16.28,259452,3670.63,8.18
149,Bintan,10.54,11713,4166.16,8.67
150,Natuna,3.98,83364,5323.74,8.92
151,Lingga,12.58,9034,3609.88,6.88
152,Kepulauan Anambas,3.08,48737,4928.79,7.34
153,Kota Batam,77.17,1230097,4298.84,11.15
154,Kota Tanjung Pinang,20.85,233367,4015.63,10.26
