No,Kabupaten/Kota,JPM,JP,RRP,RRLS
1,Simeulue,18.25,93762,1511.99,9.48
2,Aceh Singkil,25.48,128384,1778.9,8.68
3,Aceh Selatan,32.25,234630,1705.46,8.88
4,Aceh Tenggara,29.31,224119,1649.02,9.67
5,Aceh Timur,63.69,427032,1393.59,8.21
6,Aceh Tengah,32.72,218684,2187.55,9.86
7,Aceh Barat,39.83,200579,2064.32,9.55
8,Aceh Besar,60.26,409527,2306.36,10.33
9,Pidie,88.53,439398,1549.85,9
10,Bireuen,63.02,439788,1810.82,9.29
11,Aceh Utara,109.49,608106,1310.21,8.64
12,Aceh Barat Daya,25.06,152657,1296.61,8.67
13,Gayo Lues,18.61,101102,2587.43,8.4
14,Aceh Tamiang,40.03,297522,1431.16,8.91
15,Nagan Raya,30.71,170591,2416.23,8.69
16,Aceh Jaya,12.63,94418,1974.46,8.71
17,Bener Meriah,28.69,164522,1804.84,10
18,Pidie Jaya,31.79,160327,1707.1,9.34
19,Kota Banda Aceh,20.95,255029,3099.68,12.83
20,Kota Sabang,5.33,42066,2775.09,11.18
21,Kota Langsa,19.78,188878,2186.72,11.12
22,Kota Lhokseumawe,23.38,189941,2571.36,11.11
23,Kota Subulussalam,14.46,92671,1539.79,8.03
24,Nias,24.33,147794,1727.03,5.64
25,Mandailing Natal,43.24,478062,1162.53,8.63
26,Tapanuli Selatan,25.01,303685,1305.38,9.29
27,Tapanuli Tengah,49.95,369300,982.87,8.84
28,Tapanuli Utara,29.72,315222,1308.09,9.99
29,Toba Samosir,16.61,208754,1641.57,10.57
30,Labuhan Batu,45.03,499982,1522.05,9.25
31,Asahan,69.29,777626,1294.86,8.8
32,Simalungun,76.99,1003727,1483.55,9.61
33,Dairi,23.72,311665,1058.73,9.59
34,Karo,38.01,409077,1532.69,10
35,Deli Serdang,92.52,1941374,1699.82,10.1
36,Langkat,106.59,1034519,1473.95,8.66
37,Nias Selatan,55.16,366163,1503.25,6.06
38,Humbang Hasundutan,18.71,199719,1636.48,9.71
39,Pakpak Bharat,4.79,53315,1658.57,9.14
40,Samosir,16.08,137696,1751.38,9.44
41,Serdang Bedagai,51.16,662076,1487.48,8.69
42,Batu Bara,52.59,413171,1206.03,8.07
43,Padang Lawas Utara,28.37,263551,1650.61,9.38
44,Padang Lawas,25.78,263719,1519.67,9.02
45,Labuhan Batu Selatan,30.36,316798,1771.36,8.9
46,Labuhan Batu Utara,37.13,385869,1548.97,8.41
47,Nias Utara,35.84,148790,1792.67,6.77
48,Nias Barat,21.75,90585,1488.73,6.69
49,Kota Sibolga,10.8,89932,1131.58,10.41
50,Kota Tanjung Balai,24.1,177640,1592.75,9.45
51,Kota Pematang Siantar,22.06,270768,1662.35,11.29
52,Kota Tebing Tinggi,17.37,174969,2014.37,10.44
53,Kota Medan,193.03,2460858,2329.35,11.48
54,Kota Binjai,16.46,295361,1706.3,10.94
55,Kota Padangsidimpuan,17.28,227674,1428.53,11.09
56,Kota Gunungsitoli,24.02,136707,1927.7,8.62
57,Kepulauan Mentawai,14.31,88389,2230.4,7.2
58,Pesisir Selatan,37.41,509618,1554.63,8.27
59,Solok,30.36,394237,1615.62,7.87
60,Sijunjung,16.81,237313,2037.26,8.12
61,Tanah Datar,15.89,373693,1967.81,8.62
62,Padang Pariaman,30.41,433018,1823.79,7.88
63,Agam,34.26,534202,2391.33,8.97
64,Lima Puluh Kota,28.51,385634,1743.21,8.07
65,Pasaman,21.57,303103,1567.05,8.1
66,Solok Selatan,13.41,184854,1944.34,8.32
67,Dharmasraya,17.6,231217,2253.12,8.55
68,Pasaman Barat,34.97,436313,1367.74,8.27
69,Kota Padang,48.44,913448,2708.85,11.59
70,Kota Solok,2.31,74469,2464.83,11.04
71,Kota Sawah Lunto,1.52,65687,2598.86,10.32
72,Kota Padang Panjang,3.28,56971,2168.67,11.63
73,Kota Bukittinggi,6.98,121588,2874.95,11.34
74,Kota Payakumbuh,8.66,141184,2633.83,10.81
75,Kota Pariaman,3.99,95294,2329.61,10.67
76,Kuantan Singingi,28.9,339894,2441.53,8.75
77,Indragiri Hulu,27.35,453241,2481.82,8.39
78,Indragiri Hilir,44.61,658025,3810.77,7.24
79,Pelalawan,49.3,399264,3119.62,8.7
